ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Location	Gen	Sex	Photo	Breeding_nest	Bury	Eggs	Instar
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	9	T2818	NA	SC	MZG	WC	M	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	10	T1360	n7675	MF	7434_7431	F20	M	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	11	T2821	NA	SC	HPG	WC	F	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	12	TNY_3359	NA	MF	KFS	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	13	T2805	NA	SC	MZG	WC	M	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	14	T2806	NA	SC	MZG	WC	M	L	n8069	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	15	TNY_3355	NA	MF	KFS	WC	M	L		1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	16	TNY_3331	NA	MF	W10	WC	F	L		1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	17	TNY_3352	NA	MF	KFS	WC	M	L		1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	18	T2787	NA	SC	ZKG	WC	M	L	n8076	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	19	TNY_3330	NA	MF	W10	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	20	T2827	NA	SC	ZKG	WC	F	L	n8069	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	21	T2804	NA	SC	MZG	WC	M	L	n8073	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	22	TNY_3333	NA	MF	W10	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	23	T2764	NA	SC	ZKG	WC	F	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	24	T2761	NA	SC	ZKG	WC	M	L	n8075	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	25	T1187	n7678	MF	7424_7434	F20	M	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	26	T2822	NA	SC	HPG	WC	M	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	27	T2815	NA	SC	MZG	WC	M	L	n8070	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	28	TNY_3360	NA	MF	KFS	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	29	T2757	NA	SC	ZKG	WC	F	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	30	TNY_3357	NA	MF	KFS	WC	M	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	31	TNY_3332	NA	MF	W10	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	32	TNY_3350	NA	MF	KFS	WC	M	L				1
Loc1203	Monitor20201203_1207	long	soil	LD_4	1	T1609	n7919	OK	7530_7528	F2	M	H	n8152	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	2	T0536	n7733	BF	7_3	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	3	T1703	n7917	OK	7528_7529	F2	F	H	n8152	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	4	T0685	n7730	BF	4_8	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	5	T1746	n7920	OK	7530_7528	F2	F	H	n8151	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	6	T0531	n7733	BF	7_3	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	7	T1810	n7918	OK	7528_7529	F2	M	H	n8151	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	8	T0669	n7730	BF	4_8	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	9	T0497	n7729	BF	3_7	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	10	T0171	n7728	BF	2_7	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	11	T1779	n7920	OK	7530_7528	F2	M	S	n8153	1	0	1
Loc1203	Monitor20201203_1207	long	soil	LD_4	12	T0535	n7733	BF	7_3	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	13	T1610	n7919	OK	7530_7528	F2	M	H	n8150	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	14	T0620	n7722	BF	4_5	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	15	T1807	n7918	OK	7528_7529	F2	F	H	n8150	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	16	T1800	n7918	OK	7528_7529	F2	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	17	T0231	n7726	BF	5_4	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	18	T1765	n7920	OK	7530_7528	F2	F	L	n8164	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	19	T0499	n7729	BF	3_7	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	20	T0537	n7733	BF	7_3	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	21	T0614	n7722	BF	4_5	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	22	T1815	n7918	OK	7528_7529	F2	F	S	n8153	1	0	1
Loc1203	Monitor20201203_1207	long	soil	LD_4	23	T0495	n7729	BF	3_7	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	24	T0228	n7726	BF	5_4	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	25	T1666	n7917	OK	7528_7529	F2	M	H	n8149	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	26	T0490	n7729	BF	3_7	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	27	T0577	n7720	BF	2_7	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	28	T0176	n7728	BF	2_7	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	29	T1739	n7920	OK	7530_7528	F2	F	H	n8149	0	0	0
Loc1203	Monitor20201203_1207	long	soil	LD_4	30	T0582	n7720	BF	2_7	WT	F	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	31	T0570	n7720	BF	2_7	WT	M	L				
Loc1203	Monitor20201203_1207	long	soil	LD_4	32	T0145	n7737	BF	4_6	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	1	T1804	n7918	OK	7528_7529	F2	F	H	n8161	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	2	T0396	n7727	BF	5_1	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	3	T0494	n7729	BF	3_7	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	4	T1797	n7918	OK	7528_7529	F2	M	L	n8166	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	5	T0248	n7721	BF	3_6	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	6	T0254	n7721	BF	3_6	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	7	T1720	n7917	OK	7528_7529	F2	F	L	n8249	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	8	T1664	n7917	OK	7528_7529	F2	M	H	n8161	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	9	T0256	n7721	BF	3_6	WT	F	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	10	T1627	n7919	OK	7530_7528	F2	F	L	n8166	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	11	T0401	n7727	BF	5_1	WT	F	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	12	T1516	n7916	OK	7528_7530	F2	M	S	n8158	1	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	13	T0484	n7729	BF	3_7	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	14	T1528	n7916	OK	7528_7530	F2	F	S	n8156	1	0	1
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	15	T0392	n7727	BF	5_1	WT	F	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	16	T0485	n7729	BF	3_7	WT	M	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	17	T1769	n7720	OK	7530_7528	F2	F	L	n8250	0	0	0
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	18	T0329	n7732	BF	2_6	WT	F	L				
Loc1210-1	Monitor20201210_1214(1)_edit	long	soil	LD_4	19	T1628	n7919	OK	7530_7528	F2	M	L	n8165	0	0	0
