ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Phenotype	Location	Gen	Sex	Photo	Subj_activity	Act_index	Breeding_nest	Start_Date	End_Date	Soil	Bury	Eggs	Instar	Distance	Carcass	Phenotype	expression	phen_idx
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	15	T2123	NA	BF	0	2	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	16	T2132	NA	BF	0	8	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	17	T2141	NA	BF	0	16	WC	F	L			n8039	11/12/20	11/26/20	NA	1	0	1					0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	18	T2129	NA	BF	0	8	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	19	T2118	NA	BF	0	1	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	20	S9547	n7568	WL	0	3_1	WT	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	21	T2122	NA	BF	0	2	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	22	T2126	NA	BF	0	3	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	23	T2131	NA	BF	0	8	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	24	T2139	NA	BF	0	11	WC	M	L			n8039	11/12/20	11/26/20	NA	1	0	1					0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	25	T2133	NA	BF	0	8	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	26	T1836	NA	WL	0	7	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	27	T2140	NA	BF	0	11	WC	M	L			n8038	11/12/20	11/26/20	NA	1	0	1	NA				0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	28	T2135	NA	BF	0	8	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	29	T2121	NA	BF	0	2	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	30	T2138	NA	BF	0	10	WC	F	L			n8038	11/12/20	11/26/20	NA	1	0	1	NA				0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	31	T2143	NA	BF	0	4	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	32	T2127	NA	BF	0	3	WC	F	L														0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	1	T0393	n7727	BF	0	5_1	WT	F	L	Active	1	n8023	11/9/20	11/23/20	9.99	1	0	1	on carcass	1	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	2	T0303	n7725	BF	0	6_3	WT	M	L	Active	1	n8029	11/9/20	11/23/20	NA	1	0	1	on carcass	1	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	3	T0247	n7721	BF	0	3_6	WT	F	L	Active	1	n8024	11/9/20	11/23/20	10.385	1	0	1	on carcass	1	y	ZT8	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	4	T0573	n7720	BF	0	2_7	WT	M	L	Active	1	n8026	11/9/20	11/23/20	9.052	1	0	1	on carcass	1	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	5	T0272	n7721	BF	0	3_6	WT	M	S	Active	1	n8034	11/9/20	11/27/20	NA	1	0	1	NA				0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	6	T0546	n7720	BF	0	2_7	WT	F	S	Active	1	n8033	11/9/20	11/27/20	9.721	1	0	1	NA			ZT4	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	7	T0761	n7890	MF	1	7429_7427	F20	F	L									1					1
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	8	T0622	n7722	BF	0	4_5	WT	F	L	Inactive 	1	n8030	11/9/20	11/23/20	9.417	1	1	1	on carcass	1	y	ZT4	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	9	T0277	n7721	BF	0	3_6	WT	F	S	Abnormal	0.5	n8037	11/9/20	11/27/20	9.651	1	0	1	on carcass	1		ZT12	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	10	T0306	n7725	BF	0	6_3	WT	F	L	Active	1	n8025	11/9/20	11/26/20	9.697	1	1	1	NA				0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	11	T0561	n7720	BF	0	2_7	WT	F	S	Active 	1	n8036	11/9/20	11/27/20	10.13	1	0	1	on carcass	1		ZT8	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	12	T0299	n7725	BF	0	6_3	WT	F	S	Active	1	n8035	11/9/20	11/27/20	9.668	1	0	1	on carcass	1			0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	13	T0626	n7722	BF	0	4_5	WT	M	L	Abnormal	0.5	n8031	11/9/20	11/23/20	9.781	1	0	0	5.848	0	s		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	14	T0244	n7721	BF	0	3_6	WT	F	L	Active	1	n8026	11/9/20	11/23/20	9.052	1	0	1	NA	NA	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	15	T0403	n7727	BF	0	5_1	WT	M	L	Active	1	n8024	11/9/20	11/23/20	10.385	1	0	1	5.381	0	y	ZT8	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	16	T0294	n7725	BF	0	6_3	WT	M	S	Active 	1	n8032	11/9/20	11/27/20	NA	1	0	1	2.069	0			0
